Name,Address,Longitude,Latitude,Municipality,LibrarySize,TownSize,NumberOfBooks
Pío Baroja,"Calle de arganda, 12, 28005 Madrid, Spain",-3.7078,40.4003,arganzuela,,,
Barajas Gloria Fuertes,"av. de Logroño, 179, 28042 Madrid, Spain",-3.5938,40.4608,Barajas,,,
Ana María Matute,"Calle Cortada, 1, 28019 Madrid, Spain",-3.7201,40.3978,Carabanchel,,,
Luis Rosales,"Calle de antonia Rodríguez Sacristán, 7, 9, 28044 Madrid, Spain",-3.7477,40.3735,Carabanchel,,,
La Chata,"Calle del Gral. Ricardos, 252, 28025 Madrid, Spain",-3.7424,40.383,Carabanchel,,,
Benito Pérez Galdós,"Calle del Conde Duque, 9, 11, 28015 Madrid, Spain",-3.7112,40.4279,Centro,,,
Iván de Vargas,"Calle de San Justo, 5, 28005 Madrid, Spain",-3.7097,40.414,Centro,,,
Mario Vargas Llosa,"C. de Barceló, 4, 28004 Madrid, Spain",-3.9174,40.5271,Centro,,,
Pedro Salinas,"Glorieta de la Puerta de Toledo, 1, 28005 Madrid, Spain",-3.711027802,40.40723965,Centro,,,
Dámaso Alonso,"Calle de Manuel Ferrero, 1, 28036 Madrid, Spain",-3.6846,40.4675,Chamartín,,,
Francisco Ibáñez,"Calle Mantuano, 51, 28002 Madrid, Spain",-3.6765,40.4483,Chamartín,,,
José Luis Sampedro,"Calle Felipe el Hermoso, 4, 28010 Madrid, Spain",-3.6996,40.4354,Chamberí,,,
Ruiz Egea,"Calle de Raimundo Fernández Villaverde, 6, 28003 Madrid, Spain",-3.7027997,40.4465887,Chamberí,,,
Ciudad Lineal,"AVENIDA INSTITUCIÓN LIBRE DE ENSEÑANZA, 14 28037 MADRID",-3.6373098,40.4363674,Ciudad Lineal,,,
La Elipa,"Calle de Ntra. Sra. del Villar, 6, 28017 Madrid, Spain",-3.6518,40.4234,Ciudad Lineal,,,
Pablo Neruda,"Calle de Ascao, 4, 28017 Madrid, Spain",-3.6416,40.4294,Ciudad Lineal,,,
José Saramago,"Av. de Monforte de Lemos, 38, 28029 Madrid, Spain",-3.7095,40.4796,Fuencarral-El Pardo,,,
Rafael Alberti,"Biblioteca Pública Municipal Rafael Alberti, 28034 Madrid, Spain",-3.6982,40.488,Fuencarral-El Pardo,,,
Hortaleza,"CEPA Dulce Chacón, Calle Abertura, s/n, 28033 Madrid, Spain",-3.6498,40.4772,Hortaleza,,,
Huerta de la Salud,"Calle Mar de las Antillas, 10, 28033 Madrid, Spain",-3.6458,40.4753,Hortaleza,,,
María Lejárraga,"Calle Princesa de Éboli, 29, 28050 Madrid, Spain",-3.6554,40.4904,Hortaleza,,,
Aluche,"Calle de Camarena, 10, 28047 Madrid, Spain",-3.7562,40.3955,Latina,,,
Antonio Mingote,"Calle Rafael Finat, 51, 28044 Madrid, Spain",-3.7694,40.3793,Latina,,,
Ángel González,"Calle de Granja de Torrehermosa, 1, 28024 Madrid, Spain",-3.7663,40.3969,Latina,,,
José Acuña,"Calle de Quintana, 9, 28008 Madrid, Spain",-3.7169,40.4279,Moncloa-Aravaca,,,
Miguel Delibes,"Calle del Arroyo Belincoso, 11, 28030 Madrid, Spain",-3.6531,40.4097,Mortalaz,,,
Moratalaz,"Calle del Corregidor Alonso de Tobar, 5, 28030 Madrid, Spain",-3.6494,40.404,Mortalaz,,,
Miguel Hernández,"Av. Rafael Alberti, 36, 28018 Madrid, Spain",-3.6431,40.3847,Puente de Vallecas,,,
